msoa,total_pop,age_5_16,prop_11_16,prop_male,prop_white,idaci
Lambeth 002,8054,1021,0.506562194,0.489236791,0.282778865,0.463027263
Lambeth 003,9370,1106,0.467450271,0.495479204,0.302893309,0.462419271
Lambeth 004,10429,900.5,0.456524153,0.521690768,0.332591769,0.364432249
Lambeth 005,8094,871.5,0.462994836,0.517795637,0.284730195,0.480367648
Lambeth 006,7990,1110.5,0.480594327,0.524797115,0.357078449,0.464206433
Lambeth 007,7976,1039.5,0.502260702,0.494241843,0.243761996,0.490634872
Lambeth 008,8361,1324,0.510271903,0.518099548,0.279034691,0.474637973
Lambeth 009,8301,1453.5,0.479463364,0.459050241,0.225051617,0.472392251
Lambeth 010,9571,1059.5,0.48428504,0.510859301,0.273843248,0.394292138
Lambeth 011,9731,1541.5,0.509957833,0.506813757,0.227774173,0.467891955
Lambeth 012,9033,807.5,0.492755418,0.46716233,0.436183395,0.36172214
Lambeth 013,7266,673,0.44576523,0.504464286,0.516369048,0.288012371
Lambeth 014,8832,1080,0.467962963,0.498148148,0.462037037,0.285225096
Lambeth 015,9516,597,0.486097152,0.5,0.31270903,0.364001929
Lambeth 016,8642,1063.5,0.445792196,0.492944497,0.226716839,0.548175754
Lambeth 017,6846,691.5,0.464931309,0.542691751,0.302460203,0.453201306
Lambeth 018,9157,1065.5,0.505771938,0.495782568,0.264292409,0.33919245
Lambeth 019,7639,730.5,0.419849418,0.532876712,0.701369863,0.160207166
Lambeth 020,8687,756,0.471428571,0.533068783,0.333333333,0.345529625
Lambeth 021,9898,1193,0.465213747,0.504610226,0.276613579,0.430771164
Lambeth 022,8119,1284,0.461370717,0.515198753,0.271239283,0.49983219
Lambeth 023,9123,898.5,0.420812465,0.481646274,0.476084538,0.281978498
Lambeth 024,8779,1594,0.501756587,0.512868801,0.21217828,0.571561414
Lambeth 025,9628,1264.5,0.462238039,0.524940618,0.457640538,0.330198572
Lambeth 026,8369,1084.5,0.46131858,0.466359447,0.384331797,0.398603636
Lambeth 027,8620,1107.5,0.45282167,0.485998193,0.437217706,0.343550369
Lambeth 028,9020,1179,0.454961832,0.527519052,0.49280271,0.303490984
Lambeth 029,9121,855,0.478128655,0.477751756,0.401639344,0.276587987
Lambeth 030,8483,1146.5,0.484343655,0.513937282,0.428571429,0.268586518
Lambeth 031,7791,1395.5,0.46470799,0.510379384,0.261274159,0.500336794
Lambeth 032,11181,1145.5,0.4465299,0.502617801,0.363001745,0.338327163
Lambeth 033,7424,1083,0.496398892,0.479224377,0.32132964,0.436499335
Lambeth 034,8591,1021.5,0.500538424,0.509304603,0.377081293,0.288260254
Lambeth 035,7363,1176.5,0.487462813,0.510620221,0.225998301,0.395306468
Lambeth 036,8081,552.5,0.514570136,0.501805054,0.366425993,0.397083358
Southwark 001,8313,579.5,0.479206212,0.515517241,0.572413793,0.269879536
Southwark 002,9102,609,0.509359606,0.524590164,0.327868852,0.311168796
Southwark 003,11711,590.5,0.426587638,0.515254237,0.379661017,0.371950046
Southwark 004,9144,1104.5,0.464735174,0.496376812,0.413949275,0.488250411
Southwark 006,10290,1087,0.46550138,0.507366483,0.240331492,0.375344837
Southwark 007,8591,1084,0.498339483,0.523502304,0.403686636,0.506245185
Southwark 008,8652,635.5,0.505900865,0.525157233,0.512578616,0.416545509
Southwark 009,6497,593,0.464755481,0.560810811,0.179054054,0.351820775
Southwark 010,9043,1101.5,0.495052202,0.494096276,0.454132607,0.463751921
Southwark 011,6494,835,0.481676647,0.494019139,0.455741627,0.503581028
Southwark 012,7534,894.5,0.484628284,0.498320269,0.306830907,0.410086195
Southwark 013,8315,1176.5,0.512962176,0.556122449,0.324829932,0.423018303
Southwark 014,8503,938,0.447121535,0.502132196,0.287846482,0.388077023
Southwark 015,8386,1427.5,0.501085814,0.507358094,0.203223546,0.423480343
Southwark 016,8111,1208,0.468211921,0.478908189,0.224152192,0.382812753
Southwark 017,7733,1024,0.483984375,0.515121951,0.224390244,0.460008664
Southwark 018,9568,1781,0.493542953,0.498034812,0.173498035,0.484186906
Southwark 019,9649,1768,0.51821267,0.524321267,0.147058824,0.439035265
Southwark 020,8888,1284.5,0.487115609,0.482866044,0.232866044,0.415206482
Southwark 021,10359,1472,0.454483696,0.50951087,0.157608696,0.41757164
Southwark 022,8383,1314,0.497869102,0.511787072,0.177186312,0.496787399
Southwark 023,10389,1229.5,0.485969906,0.473127036,0.190553746,0.489805224
Southwark 024,8870,916.5,0.504855428,0.513631407,0.402399128,0.280574112
Southwark 025,9378,1032.5,0.443680387,0.477206596,0.333656644,0.337285616
Southwark 026,9960,1455.5,0.462452765,0.538831615,0.232989691,0.40174301
Southwark 027,7755,1115,0.485560538,0.509856631,0.301075269,0.373644674
Southwark 028,9199,820,0.464634146,0.515225335,0.511571255,0.215421792
Southwark 029,7236,982,0.456415479,0.47196738,0.434250765,0.289550075
Southwark 030,8240,989,0.454196158,0.502024291,0.66194332,0.164585256
Southwark 031,9085,1570.5,0.497739573,0.51656051,0.749044586,0.074592719
Southwark 032,9180,1075,0.464372093,0.499070632,0.576208178,0.228600731
Southwark 033,8036,1126.5,0.484420772,0.544,0.449777778,0.281840584
Southwark 034,7689,651.5,0.507904835,0.491551459,0.313364055,0.35780021
